,n_loans,loan_amount,med_income,n_restaurants,tot_pop,pct_white_alone,pct_black,pct_amind,pct_asian,pct_hispanic,state,aland10,zip,pct_with_loan
1,25,1644633.0,51839.0,46,13674.0,90.5,2.3,0.5,0.1,5.3,OH,121522304,43452,0.5434782608695652
2,13,1382900.0,66488.0,16,291.0,93.5,2.7,0.0,1.4,1.0,OH,9320975,43456,0.8125
14,1,36200.0,42107.0,6,2381.0,94.3,0.6,0.3,0.4,3.4,OR,533093750,97827,0.16666666666666666
15,5,114732.88,45769.0,12,3112.0,94.2,0.2,0.2,0.1,2.8,OR,1906723280,97828,0.4166666666666667
16,1,3652.53,30909.0,3,734.0,76.7,0.0,0.3,0.0,16.5,OR,1553156453,97830,0.3333333333333333
20,6,327870.0,61326.0,22,6498.0,95.7,1.0,0.0,0.0,2.6,OH,7179340,43460,0.2727272727272727
23,1,36300.0,60913.0,3,2059.0,90.1,0.7,0.2,1.8,1.6,OH,71873187,43466,0.3333333333333333
27,17,1321152.56,55293.0,43,26057.0,60.5,0.3,0.8,0.2,37.7,OR,425979705,97838,0.3953488372093023
31,7,304750.0,41365.0,11,2857.0,90.8,0.2,1.6,0.4,3.7,OR,168393613,97845,0.6363636363636364
32,6,171097.0,57333.0,11,1784.0,94.3,0.2,0.4,1.0,3.5,OR,1946414573,97846,0.5454545454545454
34,19,1961578.0,46800.0,41,17180.0,86.5,0.9,1.4,1.3,6.0,OR,749354757,97850,0.4634146341463415
38,9,341930.74,49556.0,16,11296.0,63.5,0.1,3.4,1.1,33.4,OR,711973466,97862,0.5625
51,81,11445298.95,148276.0,138,25941.0,78.9,1.2,0.3,9.0,7.2,CA,2646603,94123,0.5869565217391305
52,35,4995548.51,56607.0,45,35363.0,7.7,27.0,0.1,36.2,24.7,CA,12759669,94124,0.7777777777777778
53,29,3219165.4,55049.0,64,14087.0,62.0,14.0,2.7,5.5,9.1,OK,12872689,73118,0.453125
55,11,2530875.0,90909.0,10,15184.0,90.5,2.7,0.1,2.1,4.1,NC,141083458,27358,1.1
56,1,32200.0,42221.0,3,8110.0,52.4,2.8,1.1,0.1,40.2,OR,60984119,97882,0.3333333333333333
58,20,1225498.5,43661.0,64,45603.0,74.4,11.4,0.2,1.2,11.4,NC,228272403,27360,0.3125
60,90,5030087.050000001,110216.0,176,41468.0,52.9,2.0,0.0,32.8,7.1,CA,5047738,94118,0.5113636363636364
61,70,5960506.93,95036.0,117,43795.0,41.0,1.9,0.0,44.9,6.0,CA,7980037,94121,0.5982905982905983
62,110,7772195.59,109607.0,198,62131.0,37.6,1.8,0.2,46.4,7.7,CA,6124845,94122,0.5555555555555556
63,25,1838893.9500000002,158162.0,46,21423.0,48.4,3.0,0.4,32.8,10.5,CA,4585723,94127,0.5434782608695652
65,4,119176.0,44085.0,13,9102.0,74.6,19.7,0.5,0.3,2.0,NC,419186125,27371,0.3076923076923077
66,3,229000.0,63278.0,11,8998.0,81.8,10.3,0.4,1.3,5.3,NC,180659075,27376,0.2727272727272727
67,7,472316.0,67332.0,11,7884.0,73.4,20.9,0.0,2.7,2.4,NC,66108864,27377,0.6363636363636364
68,1,48500.0,35086.0,9,5601.0,47.6,44.9,0.0,1.4,4.8,NC,221230904,27379,0.1111111111111111
69,29,4659886.29,35153.0,47,22105.0,24.0,67.9,0.8,1.1,4.1,NC,16082571,27401,0.6170212765957447
70,42,2158784.44,45566.0,80,22569.0,60.7,27.1,0.8,4.0,5.6,NC,15609724,27403,0.525
71,21,5938017.55,36462.0,63,48990.0,23.1,57.6,0.4,5.2,10.6,NC,80449508,27405,0.3333333333333333
72,22,2989416.71,41097.0,73,63465.0,27.3,58.6,0.9,1.9,8.6,NC,179914176,27406,0.3013698630136986
74,5,194917.91999999998,36645.0,13,6592.0,92.9,1.4,1.5,0.0,2.7,MO,437206509,65084,0.38461538461538464
76,35,2603392.76,54781.0,52,29998.0,75.8,18.7,0.4,0.3,2.5,MO,344006938,65101,0.6730769230769231
77,37,2684689.85,59017.0,74,39417.0,82.9,8.6,0.1,2.4,3.3,MO,212790314,65109,0.5
79,4,112585.52,33847.0,5,4551.0,94.5,0.6,1.3,0.0,2.4,MI,202486674,48756,0.8
80,8,585879.5,51095.0,23,13469.0,82.0,0.6,0.5,0.6,13.8,UT,373343468,84501,0.34782608695652173
81,5,388575.89,36097.0,9,6557.0,92.1,1.9,0.1,0.0,2.5,AR,351758503,72010,0.5555555555555556
82,1,44200.0,59097.0,7,4439.0,68.1,0.2,22.1,0.0,5.2,UT,1115408266,84511,0.14285714285714285
84,1,38800.0,41071.0,3,781.0,16.9,0.0,81.4,0.0,0.9,UT,725644768,84512,0.3333333333333333
85,14,601089.95,57696.0,24,13073.0,92.7,2.2,0.0,0.9,2.6,AR,236399931,72012,0.5833333333333334
87,5,917100.0,184035.0,9,3994.0,73.5,1.1,0.0,7.4,13.6,CA,5968391,94129,0.5555555555555556
88,38,2476725.0,49822.0,74,35952.0,67.1,7.6,8.1,1.6,7.9,OK,851770507,73401,0.5135135135135135
89,74,5139503.87,36590.0,146,45159.0,75.3,8.0,0.6,6.3,5.0,MO,221557039,65201,0.5068493150684932
90,16,1325525.06,51287.0,43,48560.0,74.2,14.0,0.1,3.4,3.7,MO,385582698,65202,0.37209302325581395
91,54,6015237.1,64629.0,120,57788.0,78.4,8.8,0.3,5.6,3.0,MO,200289820,65203,0.45
95,26,1809540.14,137762.0,31,29902.0,57.5,4.4,0.2,18.6,13.1,CA,5379809,94131,0.8387096774193549
97,15,877504.0,48071.0,21,11943.0,83.7,9.2,0.3,0.3,2.6,MO,362068955,65233,0.7142857142857143
98,2,33500.0,36944.0,3,1516.0,91.6,4.4,0.0,0.0,0.0,MO,192534824,65236,0.6666666666666666
101,5,187018.1,58573.0,10,8684.0,95.9,2.2,0.1,0.0,1.0,MO,460628295,65240,0.5
103,20,1115241.32,74187.0,60,31488.0,29.3,8.9,0.3,41.4,15.4,CA,8054487,94132,0.3333333333333333
104,8,480018.0,81635.0,10,34271.0,46.0,18.7,0.4,4.1,27.2,FL,55333814,33579,0.8
106,15,377061.28,62899.0,33,27153.0,58.3,13.4,0.1,2.7,22.5,FL,55497272,33584,0.45454545454545453
108,25,2009968.92,41687.0,67,17521.0,56.0,25.9,0.6,2.5,10.5,MS,17518403,39531,0.373134328358209
109,1,10430.6,49784.0,4,2722.0,93.3,3.5,0.0,0.0,1.7,KY,224115213,42409,0.25
111,31,2336203.03,62852.0,83,41655.0,86.6,5.2,0.4,2.3,3.5,TN,108928754,37343,0.37349397590361444
113,11,428352.12,63853.0,27,35465.0,58.3,11.3,0.2,4.7,21.8,FL,26817179,33594,0.4074074074074074
